id,partner,alcon_id,created_at,skus
53247,bcom,7c13f610d7b78f9f45bfd8f0c361a895,2024-07-14 10:00:57,[]
52721,,487b3e5cd6ed72df3ab5afd1248c6e21,2024-07-08 08:09:10,"[{""id"": ""30"", ""brand"": ""DAILIES AquaComfort Plus"", ""quantity"": ""1"", ""size"": ""90""}, {""id"": ""30"", ""brand"": ""DAILIES AquaComfort Plus"", ""quantity"": ""1"", ""size"": ""90""}]"
52722,,4f325e3061c84a7126dc278ec15c1380,2024-07-08 08:09:13,"[{""id"": ""27"", ""brand"": ""Air Optix plus HydraGlyde for Astigmatism"", ""quantity"": ""1"", ""size"": ""3""}, {""id"": ""27"", ""brand"": ""Air Optix plus HydraGlyde for Astigmatism"", ""quantity"": ""1"", ""size"": ""3""}]"
52723,,3db7869fe7c0d2490bde0ca75a80a005,2024-07-08 08:09:15,"[{""id"": ""43"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0444\u0440\u0438 \u042d\u043a\u0441\u043f\u0440\u0435\u0441\u0441 \u0420\u0430\u0441\u0442\u0432\u043e\u0440"", ""quantity"": ""1"", ""size"": ""355""}]"
52724,,e9d7ce03c34ed7395cc0c14ac7ef71fc,2024-07-08 08:09:17,"[{""id"": ""12"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": """"}, {""id"": ""44"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": ""15""}]"
52725,,d47969a427c0852494dc2774b01179a3,2024-07-08 08:09:08,"[{""id"": ""4"", ""brand"": ""Dailies Total1 \u041c\u0443\u043b\u044c\u0442\u0438\u0444\u043e\u043a\u0430\u043b\u044c\u043d\u044b\u0435"", ""quantity"": ""1"", ""size"": ""30""}, {""id"": ""4"", ""brand"": ""Dailies Total1 \u041c\u0443\u043b\u044c\u0442\u0438\u0444\u043e\u043a\u0430\u043b\u044c\u043d\u044b\u0435"", ""quantity"": ""1"", ""size"": ""30""}]"
52726,bcom,f6c6675db4b4e1e5bb6b8aaefe84b490,2024-07-08 10:00:03,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52727,bcom,60f5d555ae1406542c565882efbe3ab0,2024-07-08 10:00:05,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52728,bcom,fab63b7f8a3c178287cd9e3b5d803f2e,2024-07-08 10:00:07,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
52729,bcom,2e79a3893b03bdbde146149a42140da4,2024-07-08 10:00:10,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
52730,bcom,410227a136c2e6a6855f4d5d2c3aa23f,2024-07-08 10:00:11,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
52731,bcom,062b430e8a910c8a3aa429ba18d7bc53,2024-07-08 10:00:14,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
52732,bcom,7ef216bd23e3446dd73315215c77dfc2,2024-07-08 10:00:15,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52733,bcom,5d104354fdb2d9a5903882dc9a16d474,2024-07-08 10:00:17,[]
52734,bcom,a92204c7db8be56aed132333076119d2,2024-07-08 10:00:18,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52735,bcom,732c59e9295a547f1f4d720f5ab0042d,2024-07-08 10:00:20,[]
52736,bcom,ba804ca1268b4af8f459787f1aac9bc6,2024-07-08 10:00:21,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
52737,bcom,1312f3a268f4d06fb5917d43819d710a,2024-07-08 10:00:22,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
52738,bcom,398c5250ba309d6540fda589b381506c,2024-07-08 10:00:25,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52739,bcom,b8522a5cf735686fce8c44bdfc35f925,2024-07-08 10:00:27,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52740,bcom,49bb49877e7f442610b572224156b69f,2024-07-08 10:00:29,[]
52741,bcom,6f0a8d7d2a0c5cd56d9af70ff5386f98,2024-07-08 10:00:29,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
52742,bcom,1890950e0cd552666d2c0669ab64f3c8,2024-07-08 10:00:32,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
52743,bcom,a8b5d2c9b9204ba7aa6c69616a3478a0,2024-07-08 10:00:34,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
52744,bcom,b288b5e01f969180b69e938a9f3ee97a,2024-07-08 10:00:35,"[{""id"": 8, ""brand"": ""Air Optix plus HydraGlyde"", ""quantity"": 1, ""size"": 6}]"
52745,bcom,4ba86b0f6a3bc88440cb65e95bb3149a,2024-07-08 10:00:37,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
52746,bcom,050b90cba46ad43b29e35d0ae06ba5a3,2024-07-08 10:00:40,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
