id,partner,alcon_id,created_at,skus
53908,,77b9c8fa31dd5d7c128fecf1f4f1c785,2024-07-22 08:09:09,"[{""id"": ""50"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438 PureMoist"", ""quantity"": ""1"", ""size"": ""300""}]"
53909,,167035b14a59a3974cbc90c91843015a,2024-07-22 08:09:11,"[{""id"": ""27"", ""brand"": ""Air Optix plus HydraGlyde for Astigmatism"", ""quantity"": ""1"", ""size"": ""3""}]"
53910,,b5a25703247eccc7ca26eea587150a19,2024-07-22 08:09:15,"[{""id"": ""9"", ""brand"": ""Air Optix Colors"", ""quantity"": ""1"", ""size"": ""2""}]"
53911,,0ca956f7058eb5ba83753a141944c172,2024-07-22 08:09:17,"[{""id"": ""12"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": """"}, {""id"": ""44"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": ""15""}]"
53912,,8b275bbd55a3d8e801c9aea3a1bc70d7,2024-07-22 08:09:19,"[{""id"": ""28"", ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": ""1"", ""size"": ""3""}]"
53913,,64eed4fe482ff4590b45ce0518adea49,2024-07-22 08:09:21,"[{""id"": ""10"", ""brand"": ""Air Optix Night & Day Aqua"", ""quantity"": ""1"", ""size"": ""3""}]"
53914,,b095be177e76b431a96a5897d672441d,2024-07-22 08:09:06,"[{""id"": ""12"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": """"}, {""id"": ""12"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": """"}, {""id"": ""44"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": ""15""}, {""id"": ""44"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": ""1"", ""size"": ""15""}]"
53915,bcom,78dd51d4af2f344fc927b26f1a52e67b,2024-07-22 10:00:04,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53916,bcom,7e48f0f5e60336a9840bd6f8202f08b3,2024-07-22 10:00:07,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53917,bcom,9d52537fddf6940e12acf6db69043b31,2024-07-22 10:00:09,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53918,bcom,ff0dc851e544ad884ee9ed5ffdffca15,2024-07-22 10:00:11,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53919,bcom,60b7552ed8f7b3f65b93105593dff2cc,2024-07-22 10:00:13,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53920,bcom,80d8bb18cb1eb546290d7a4273c79f14,2024-07-22 10:00:16,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53921,bcom,308b34fd14d03dedafc5c11c4312ed25,2024-07-22 10:00:18,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53922,bcom,f4e513f661b0f3c5174e37b7cc87e66f,2024-07-22 10:00:21,[]
53923,bcom,d632dc3bb600ba07e66e2fb186f52d82,2024-07-22 10:00:21,"[{""id"": 9, ""brand"": ""Air Optix Colors"", ""quantity"": 1, ""size"": 2}]"
53924,bcom,38645064cf57dd4a7f522b49f42f478b,2024-07-22 10:00:23,[]
53925,bcom,7d88a54d11f0a5a273911991152a45c7,2024-07-22 10:00:24,"[{""id"": 55, ""brand"": ""\u0421\u0438\u0441\u0442\u0435\u0439\u043d \u0423\u043b\u044c\u0442\u0440\u0430"", ""quantity"": 1, ""size"": 15}]"
